"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","DateTime"
"66720",0.404,0.244,241.7,2,0,1,0,2007-02-01 01:23:00
"66721",0.402,0.242,241.14,1.8,0,1,0,2007-02-01 01:24:00
"66722",0.402,0.244,241.41,1.8,0,2,0,2007-02-01 01:25:00
"66723",0.402,0.246,241.95,1.8,0,1,0,2007-02-01 01:26:00
"66724",0.402,0.248,242.36,1.8,0,2,0,2007-02-01 01:27:00
"66725",0.402,0.25,242.6,1.8,0,1,0,2007-02-01 01:28:00
"66726",0.398,0.246,242.11,1.8,0,1,0,2007-02-01 01:29:00
"66727",0.336,0.156,241.88,1.6,0,2,0,2007-02-01 01:30:00
"66728",0.3,0.104,240.78,1.2,0,1,0,2007-02-01 01:31:00
"66729",0.3,0.104,240.68,1.2,0,1,0,2007-02-01 01:32:00
"66730",0.3,0.106,240.87,1.2,0,2,0,2007-02-01 01:33:00
"66731",0.298,0.106,241,1.2,0,1,0,2007-02-01 01:34:00
"66732",0.298,0.106,240.97,1.2,0,1,0,2007-02-01 01:35:00
"66733",0.298,0.106,241.09,1.2,0,1,0,2007-02-01 01:36:00
"66734",0.298,0.106,241.1,1.2,0,2,0,2007-02-01 01:37:00
"66735",0.298,0.106,241.21,1.2,0,1,0,2007-02-01 01:38:00
"66736",0.296,0.106,241.27,1.2,0,1,0,2007-02-01 01:39:00
"66737",0.296,0.108,241.4,1.2,0,1,0,2007-02-01 01:40:00
"66738",0.296,0.108,241.61,1.2,0,1,0,2007-02-01 01:41:00
"66739",0.296,0.106,241.37,1.2,0,2,0,2007-02-01 01:42:00
"66740",0.294,0.106,240.99,1.2,0,1,0,2007-02-01 01:43:00
"66741",0.294,0.106,241.27,1.2,0,1,0,2007-02-01 01:44:00
"66742",0.242,0,241.26,1,0,0,0,2007-02-01 01:45:00
"66743",0.224,0,241.76,1,0,0,0,2007-02-01 01:46:00
"66744",0.224,0,242.38,1,0,0,0,2007-02-01 01:47:00
"66745",0.224,0,242.15,1,0,0,0,2007-02-01 01:48:00
"66746",0.288,0.05,241.69,1.4,0,0,0,2007-02-01 01:49:00
"66747",0.298,0.088,241.02,1.2,0,0,0,2007-02-01 01:50:00
"66748",0.298,0.088,240.75,1.2,0,0,0,2007-02-01 01:51:00
"66749",0.298,0.088,241.06,1.2,0,0,0,2007-02-01 01:52:00
"66750",0.3,0.09,241.57,1.2,0,0,0,2007-02-01 01:53:00
"66751",0.3,0.094,242.29,1.2,0,0,0,2007-02-01 01:54:00
"66752",0.3,0.096,242.77,1.2,0,0,0,2007-02-01 01:55:00
"66753",0.386,0.19,242.48,1.8,0,0,0,2007-02-01 01:56:00
"66754",0.406,0.228,242.24,1.8,0,0,0,2007-02-01 01:57:00
"66755",0.398,0.222,242.11,1.8,0,0,0,2007-02-01 01:58:00
"66756",0.326,0.116,240.55,1.4,0,0,0,2007-02-01 01:59:00
"66757",0.324,0.116,240.33,1.4,0,0,0,2007-02-01 02:00:00
"66758",0.328,0.126,242.57,1.4,0,0,0,2007-02-01 02:01:00
"66759",0.328,0.13,243.12,1.4,0,0,0,2007-02-01 02:02:00
"66760",0.326,0.128,243.05,1.4,0,0,0,2007-02-01 02:03:00
"66761",0.324,0.128,243.09,1.4,0,0,0,2007-02-01 02:04:00
"66762",0.322,0.124,242.07,1.4,0,0,0,2007-02-01 02:05:00
"66763",0.322,0.124,242.21,1.4,0,0,0,2007-02-01 02:06:00
"66764",0.322,0.126,242.47,1.4,0,0,0,2007-02-01 02:07:00
"66765",0.322,0.126,242.57,1.4,0,0,0,2007-02-01 02:08:00
"66766",0.322,0.128,243.08,1.4,0,0,0,2007-02-01 02:09:00
"66767",0.322,0.13,243.28,1.4,0,0,0,2007-02-01 02:10:00
"66768",0.242,0,243.52,1,0,0,0,2007-02-01 02:11:00
"66769",0.228,0,244.09,1,0,0,0,2007-02-01 02:12:00
"66770",0.228,0,244.02,1,0,0,0,2007-02-01 02:13:00
"66771",0.228,0,244.02,1,0,0,0,2007-02-01 02:14:00
"66772",0.226,0,243.25,1,0,0,0,2007-02-01 02:15:00
"66773",0.226,0,243.06,1,0,0,0,2007-02-01 02:16:00
"66774",0.228,0,243.38,1,0,0,0,2007-02-01 02:17:00
"66775",0.228,0,243.91,1,0,0,0,2007-02-01 02:18:00
"66776",0.228,0,243.93,1,0,0,0,2007-02-01 02:19:00
"66777",0.228,0,243.55,1,0,0,0,2007-02-01 02:20:00
"66778",0.228,0,243.45,1,0,0,0,2007-02-01 02:21:00
"66779",0.226,0,242.42,1,0,0,0,2007-02-01 02:22:00
"66780",0.226,0,243.14,1,0,0,0,2007-02-01 02:23:00
"66781",0.228,0,243.37,1,0,0,0,2007-02-01 02:24:00
"66782",0.228,0,243.53,1,0,0,0,2007-02-01 02:25:00
"66783",0.226,0,243.22,1,0,0,0,2007-02-01 02:26:00
"66784",0.228,0,243.57,1,0,0,0,2007-02-01 02:27:00
"66785",0.228,0,243.76,1,0,0,0,2007-02-01 02:28:00
"66786",0.226,0,243.36,1,0,0,0,2007-02-01 02:29:00
"66787",0.226,0,243.17,1,0,0,0,2007-02-01 02:30:00
"66788",0.228,0,243.58,1,0,0,0,2007-02-01 02:31:00
"66789",0.228,0,244.1,1,0,0,0,2007-02-01 02:32:00
"66790",0.23,0,244.55,1,0,0,0,2007-02-01 02:33:00
"66791",0.23,0,244.98,1,0,0,0,2007-02-01 02:34:00
"66792",0.228,0,244.36,1,0,0,0,2007-02-01 02:35:00
"66793",0.292,0.06,244.42,1.4,0,0,0,2007-02-01 02:36:00
"66794",0.388,0.19,243.85,1.8,0,0,0,2007-02-01 02:37:00
"66795",0.416,0.238,243.83,2,0,0,0,2007-02-01 02:38:00
"66796",0.416,0.244,243.73,2,0,0,0,2007-02-01 02:39:00
"66797",0.436,0.276,244.66,2,0,0,0,2007-02-01 02:40:00
"66798",0.436,0.28,245.02,2,0,0,0,2007-02-01 02:41:00
"66799",0.432,0.28,245.06,2,0,0,0,2007-02-01 02:42:00
"66800",0.426,0.272,244.04,2,0,0,0,2007-02-01 02:43:00
"66801",0.424,0.27,243.58,2,0,0,0,2007-02-01 02:44:00
"66802",0.42,0.268,243.42,2,0,0,0,2007-02-01 02:45:00
"66803",0.35,0.16,243.19,1.6,0,0,0,2007-02-01 02:46:00
"66804",0.35,0.164,243.9,1.6,0,0,0,2007-02-01 02:47:00
"66805",0.348,0.162,243.6,1.6,0,0,0,2007-02-01 02:48:00
"66806",0.346,0.16,243.04,1.6,0,0,0,2007-02-01 02:49:00
"66807",0.346,0.162,243.44,1.6,0,0,0,2007-02-01 02:50:00
"66808",0.346,0.162,243.35,1.6,0,0,0,2007-02-01 02:51:00
"66809",0.256,0,243.34,1,0,0,0,2007-02-01 02:52:00
"66810",0.252,0,243.21,1,0,0,0,2007-02-01 02:53:00
"66811",0.252,0,242.96,1,0,0,0,2007-02-01 02:54:00
"66812",0.252,0,243.33,1,0,0,0,2007-02-01 02:55:00
"66813",0.252,0,243.16,1,0,0,0,2007-02-01 02:56:00
"66814",0.25,0,242.77,1,0,0,0,2007-02-01 02:57:00
"66815",0.252,0,243.36,1,0,0,0,2007-02-01 02:58:00
"66816",0.252,0,243.38,1,0,0,0,2007-02-01 02:59:00
"66817",0.252,0,243.5,1,0,0,0,2007-02-01 03:00:00
"66818",0.252,0,243.57,1,0,0,0,2007-02-01 03:01:00
"66819",0.254,0,244.24,1,0,0,0,2007-02-01 03:02:00
"66820",0.254,0,244.22,1,0,0,0,2007-02-01 03:03:00
"66821",0.254,0,243.99,1,0,0,0,2007-02-01 03:04:00
"66822",0.252,0,243.44,1,0,0,0,2007-02-01 03:05:00
"66823",0.252,0,243.4,1,0,0,0,2007-02-01 03:06:00
"66824",0.252,0,243.49,1,0,0,0,2007-02-01 03:07:00
"66825",0.252,0,243.55,1,0,0,0,2007-02-01 03:08:00
"66826",0.252,0,243.19,1,0,0,0,2007-02-01 03:09:00
"66827",0.254,0,243.74,1,0,0,0,2007-02-01 03:10:00
"66828",0.254,0,244.11,1,0,0,0,2007-02-01 03:11:00
"66829",0.25,0,242.84,1,0,0,0,2007-02-01 03:12:00
"66830",0.25,0,242.81,1,0,0,0,2007-02-01 03:13:00
"66831",0.25,0,242.48,1,0,0,0,2007-02-01 03:14:00
"66832",0.25,0,242.5,1,0,0,0,2007-02-01 03:15:00
"66833",0.25,0,242.76,1,0,0,0,2007-02-01 03:16:00
"66834",0.25,0,242.92,1,0,0,0,2007-02-01 03:17:00
"66835",0.368,0.15,242.49,1.6,0,0,0,2007-02-01 03:18:00
"66836",0.36,0.158,242.86,1.6,0,0,0,2007-02-01 03:19:00
"66837",0.358,0.162,243.33,1.6,0,0,0,2007-02-01 03:20:00
"66838",0.358,0.162,243.53,1.6,0,0,0,2007-02-01 03:21:00
"66839",0.356,0.162,243.44,1.6,0,0,0,2007-02-01 03:22:00
"66840",0.386,0.184,243.53,1.8,0,0,0,2007-02-01 03:23:00
"66841",0.406,0.234,243,1.8,0,0,0,2007-02-01 03:24:00
"66842",0.404,0.238,243.8,1.8,0,0,0,2007-02-01 03:25:00
"66843",0.402,0.236,243.5,1.8,0,0,0,2007-02-01 03:26:00
"66844",0.4,0.234,243.13,1.8,0,0,0,2007-02-01 03:27:00
"66845",0.4,0.234,243.34,1.8,0,0,0,2007-02-01 03:28:00
"66846",0.398,0.236,243.51,1.8,0,0,0,2007-02-01 03:29:00
"66847",0.396,0.238,243.86,1.8,0,0,0,2007-02-01 03:30:00
"66848",0.392,0.234,243.03,1.8,0,0,0,2007-02-01 03:31:00
"66849",0.346,0.166,242.99,1.6,0,0,0,2007-02-01 03:32:00
"66850",0.258,0,243.12,1,0,0,0,2007-02-01 03:33:00
"66851",0.224,0,242.06,1,0,0,0,2007-02-01 03:34:00
"66852",0.224,0,241.77,1,0,0,0,2007-02-01 03:35:00
"66853",0.226,0,242.34,1,0,0,0,2007-02-01 03:36:00
"66854",0.228,0,243.26,1,0,0,0,2007-02-01 03:37:00
"66855",0.228,0,243.71,1,0,0,0,2007-02-01 03:38:00
"66856",0.23,0,244.83,1,0,0,0,2007-02-01 03:39:00
"66857",0.23,0,244.69,1,0,0,0,2007-02-01 03:40:00
"66858",0.23,0,244.55,1,0,0,0,2007-02-01 03:41:00
"66859",0.23,0,244.38,1,0,0,0,2007-02-01 03:42:00
"66860",0.23,0,244.4,1,0,0,0,2007-02-01 03:43:00
"66861",0.228,0,244.16,1,0,0,0,2007-02-01 03:44:00
"66862",0.268,0,244.21,1.4,0,0,0,2007-02-01 03:45:00
"66863",0.312,0.12,244.13,1.4,0,1,0,2007-02-01 03:46:00
"66864",0.312,0.12,244.22,1.4,0,1,0,2007-02-01 03:47:00
"66865",0.312,0.118,243.96,1.4,0,2,0,2007-02-01 03:48:00
"66866",0.312,0.116,243.48,1.4,0,1,0,2007-02-01 03:49:00
"66867",0.312,0.118,243.84,1.4,0,2,0,2007-02-01 03:50:00
"66868",0.314,0.12,243.92,1.4,0,1,0,2007-02-01 03:51:00
"66869",0.314,0.122,244.5,1.4,0,1,0,2007-02-01 03:52:00
"66870",0.314,0.122,244.6,1.4,0,2,0,2007-02-01 03:53:00
"66871",0.314,0.122,244.56,1.4,0,1,0,2007-02-01 03:54:00
"66872",0.312,0.12,243.91,1.4,0,2,0,2007-02-01 03:55:00
"66873",0.31,0.116,243.55,1.4,0,1,0,2007-02-01 03:56:00
"66874",0.31,0.116,243.58,1.4,0,1,0,2007-02-01 03:57:00
"66875",0.308,0.112,242.74,1.4,0,2,0,2007-02-01 03:58:00
"66876",0.412,0.228,242.72,2,0,1,0,2007-02-01 03:59:00
"66877",0.416,0.25,242.71,2,0,1,0,2007-02-01 04:00:00
"66878",0.41,0.248,242.32,2,0,2,0,2007-02-01 04:01:00
"66879",0.408,0.248,242.36,2,0,1,0,2007-02-01 04:02:00
"66880",0.406,0.246,242.12,2,0,1,0,2007-02-01 04:03:00
"66881",0.404,0.248,242.18,2,0,2,0,2007-02-01 04:04:00
"66882",0.402,0.248,242.22,1.8,0,1,0,2007-02-01 04:05:00
"66883",0.4,0.246,241.98,1.8,0,1,0,2007-02-01 04:06:00
"66884",0.398,0.246,242.09,1.8,0,1,0,2007-02-01 04:07:00
"66885",0.396,0.246,241.92,1.8,0,1,0,2007-02-01 04:08:00
"66886",0.396,0.25,242.61,1.8,0,2,0,2007-02-01 04:09:00
"66887",0.396,0.252,242.99,1.8,0,1,0,2007-02-01 04:10:00
"66888",0.432,0.28,243.06,2.2,0,1,0,2007-02-01 04:11:00
"66889",0.47,0.358,242.94,2.4,0,1,0,2007-02-01 04:12:00
"66890",0.428,0.296,243.07,2.2,0,2,0,2007-02-01 04:13:00
"66891",0.348,0.17,242.85,1.6,0,0,0,2007-02-01 04:14:00
"66892",0.304,0.094,242.73,1.2,0,0,0,2007-02-01 04:15:00
"66893",0.302,0.094,242.65,1.2,0,0,0,2007-02-01 04:16:00
"66894",0.302,0.096,243.08,1.2,0,0,0,2007-02-01 04:17:00
"66895",0.3,0.1,243.6,1.2,0,0,0,2007-02-01 04:18:00
"66896",0.298,0.096,243.05,1.2,0,0,0,2007-02-01 04:19:00
"66897",0.292,0.086,243.38,1.2,0,0,0,2007-02-01 04:20:00
"66898",0.228,0,243.82,1,0,0,0,2007-02-01 04:21:00
"66899",0.228,0,243.73,1,0,0,0,2007-02-01 04:22:00
"66900",0.23,0,244.26,1,0,0,0,2007-02-01 04:23:00
"66901",0.23,0,244.98,1,0,0,0,2007-02-01 04:24:00
"66902",0.23,0,244.95,1,0,0,0,2007-02-01 04:25:00
"66903",0.234,0,244.3,1,0,0,0,2007-02-01 04:26:00
"66904",0.25,0,243.73,1,0,0,0,2007-02-01 04:27:00
"66905",0.25,0,243.23,1,0,0,0,2007-02-01 04:28:00
"66906",0.226,0,242.83,1,0,0,0,2007-02-01 04:29:00
"66907",0.226,0,242.75,1,0,0,0,2007-02-01 04:30:00
"66908",0.226,0,243,1,0,0,0,2007-02-01 04:31:00
"66909",0.228,0,243.3,1,0,0,0,2007-02-01 04:32:00
"66910",0.228,0,243.4,1,0,0,0,2007-02-01 04:33:00
"66911",0.226,0,242.69,1,0,0,0,2007-02-01 04:34:00
"66912",0.226,0,242.31,1,0,0,0,2007-02-01 04:35:00
"66913",0.224,0,242.16,1,0,0,0,2007-02-01 04:36:00
"66914",0.224,0,242.13,1,0,0,0,2007-02-01 04:37:00
"66915",0.224,0,242.02,1,0,0,0,2007-02-01 04:38:00
"66916",0.226,0,242.49,1,0,0,0,2007-02-01 04:39:00
"66917",0.32,0.09,243.16,1.4,0,0,0,2007-02-01 04:40:00
"66918",0.338,0.128,243.11,1.4,0,0,0,2007-02-01 04:41:00
"66919",0.332,0.122,242.15,1.4,0,0,0,2007-02-01 04:42:00
"66920",0.33,0.124,242.26,1.4,0,0,0,2007-02-01 04:43:00
"66921",0.328,0.124,242.18,1.4,0,0,0,2007-02-01 04:44:00
"66922",0.326,0.122,242.01,1.4,0,0,0,2007-02-01 04:45:00
"66923",0.326,0.122,242.01,1.4,0,0,0,2007-02-01 04:46:00
"66924",0.324,0.12,241.67,1.4,0,0,0,2007-02-01 04:47:00
"66925",0.322,0.12,241.5,1.4,0,0,0,2007-02-01 04:48:00
"66926",0.32,0.12,241.37,1.4,0,0,0,2007-02-01 04:49:00
"66927",0.32,0.122,241.78,1.4,0,0,0,2007-02-01 04:50:00
"66928",0.32,0.124,242.27,1.4,0,0,0,2007-02-01 04:51:00
"66929",0.32,0.12,241.88,1.4,0,0,0,2007-02-01 04:52:00
"66930",0.318,0.12,241.81,1.4,0,0,0,2007-02-01 04:53:00
"66931",0.27,0.052,241.92,1.2,0,0,0,2007-02-01 04:54:00
"66932",0.224,0,241.68,1,0,0,0,2007-02-01 04:55:00
"66933",0.224,0,241.38,1,0,0,0,2007-02-01 04:56:00
"66934",0.222,0,240.58,1,0,0,0,2007-02-01 04:57:00
"66935",0.222,0,240.81,1,0,0,0,2007-02-01 04:58:00
"66936",0.288,0.048,241.04,1.4,0,0,0,2007-02-01 04:59:00
"66937",0.3,0.09,241.54,1.2,0,0,0,2007-02-01 05:00:00
"66938",0.3,0.088,241.42,1.2,0,0,0,2007-02-01 05:01:00
"66939",0.3,0.088,241.45,1.2,0,0,0,2007-02-01 05:02:00
"66940",0.298,0.086,240.86,1.2,0,0,0,2007-02-01 05:03:00
"66941",0.294,0.084,239.84,1.2,0,0,0,2007-02-01 05:04:00
"66942",0.294,0.082,239.5,1.2,0,0,0,2007-02-01 05:05:00
"66943",0.292,0.082,239.82,1.2,0,0,0,2007-02-01 05:06:00
"66944",0.292,0.082,239.82,1.2,0,0,0,2007-02-01 05:07:00
"66945",0.248,0,240.78,1,0,0,0,2007-02-01 05:08:00
"66946",0.222,0,240.92,1,0,0,0,2007-02-01 05:09:00
"66947",0.222,0,240.74,1,0,0,0,2007-02-01 05:10:00
"66948",0.222,0,241.15,1,0,0,0,2007-02-01 05:11:00
"66949",0.224,0,241.37,1,0,0,0,2007-02-01 05:12:00
"66950",0.224,0,241.71,1,0,0,0,2007-02-01 05:13:00
"66951",0.226,0,242.68,1,0,0,0,2007-02-01 05:14:00
"66952",0.226,0,243.11,1,0,0,0,2007-02-01 05:15:00
"66953",0.226,0,243.06,1,0,0,0,2007-02-01 05:16:00
"66954",0.226,0,243.01,1,0,0,0,2007-02-01 05:17:00
"66955",0.226,0,242.77,1,0,0,0,2007-02-01 05:18:00
"66956",0.224,0,241.51,1,0,0,0,2007-02-01 05:19:00
"66957",0.224,0,241.42,1,0,0,0,2007-02-01 05:20:00
"66958",0.3,0.062,240.77,1.4,0,0,0,2007-02-01 05:21:00
"66959",0.334,0.116,240.81,1.4,0,0,0,2007-02-01 05:22:00
"66960",0.33,0.116,240.95,1.4,0,0,0,2007-02-01 05:23:00
"66961",0.328,0.12,241.43,1.4,0,0,0,2007-02-01 05:24:00
"66962",0.328,0.12,241.52,1.4,0,0,0,2007-02-01 05:25:00
"66963",0.326,0.12,241.49,1.4,0,0,0,2007-02-01 05:26:00
"66964",0.324,0.118,240.89,1.4,0,0,0,2007-02-01 05:27:00
"66965",0.322,0.118,240.91,1.4,0,0,0,2007-02-01 05:28:00
"66966",0.322,0.122,241.85,1.4,0,0,0,2007-02-01 05:29:00
"66967",0.32,0.118,241.11,1.4,0,0,0,2007-02-01 05:30:00
"66968",0.318,0.118,240.93,1.4,0,0,0,2007-02-01 05:31:00
"66969",0.318,0.118,240.88,1.4,0,0,0,2007-02-01 05:32:00
"66970",0.316,0.116,240.67,1.4,0,0,0,2007-02-01 05:33:00
"66971",0.316,0.114,240.34,1.4,0,0,0,2007-02-01 05:34:00
"66972",0.27,0.052,240.2,1.2,0,0,0,2007-02-01 05:35:00
"66973",0.222,0,240.62,1,0,0,0,2007-02-01 05:36:00
"66974",1.138,0,240.1,5,0,0,13,2007-02-01 05:37:00
"66975",1.32,0,239.79,5.4,0,0,19,2007-02-01 05:38:00
"66976",1.302,0,239.36,5.4,0,0,18,2007-02-01 05:39:00
"66977",1.29,0,239.25,5.4,0,0,17,2007-02-01 05:40:00
"66978",1.278,0,238.56,5.2,0,0,18,2007-02-01 05:41:00
"66979",1.276,0,238.61,5.2,0,0,18,2007-02-01 05:42:00
"66980",1.282,0,239.31,5.2,0,0,17,2007-02-01 05:43:00
"66981",1.284,0,239.56,5.2,0,0,18,2007-02-01 05:44:00
"66982",1.29,0,240.29,5.2,0,0,18,2007-02-01 05:45:00
"66983",1.29,0,240.3,5.2,0,0,17,2007-02-01 05:46:00
"66984",1.336,0,239.67,5.6,0,0,18,2007-02-01 05:47:00
"66985",1.354,0.072,239.52,5.6,0,0,18,2007-02-01 05:48:00
"66986",1.35,0.072,239.02,5.6,0,0,17,2007-02-01 05:49:00
"66987",1.34,0.068,238.15,5.6,0,0,18,2007-02-01 05:50:00
"66988",1.342,0.068,238.35,5.6,0,0,17,2007-02-01 05:51:00
"66989",1.336,0.068,237.97,5.6,0,0,17,2007-02-01 05:52:00
"66990",1.34,0.07,238.56,5.6,0,0,18,2007-02-01 05:53:00
"66991",1.342,0.07,238.9,5.6,0,0,17,2007-02-01 05:54:00
"66992",1.34,0.07,238.84,5.6,0,0,18,2007-02-01 05:55:00
"66993",1.302,0,238.71,5.4,0,0,17,2007-02-01 05:56:00
"66994",1.278,0,239.31,5.2,0,0,18,2007-02-01 05:57:00
"66995",1.284,0,239.91,5.2,0,0,17,2007-02-01 05:58:00
"66996",1.286,0,239.84,5.2,0,0,18,2007-02-01 05:59:00
"66997",1.282,0,239.02,5.2,0,0,18,2007-02-01 06:00:00
"66998",1.294,0,240.31,5.4,0,0,17,2007-02-01 06:01:00
"66999",1.346,0,240.22,5.6,0,0,18,2007-02-01 06:02:00
"67000",1.404,0.104,240.29,5.8,0,0,18,2007-02-01 06:03:00
"67001",1.41,0.108,241.27,5.8,0,0,17,2007-02-01 06:04:00
"67002",1.424,0.116,242.85,5.8,0,0,19,2007-02-01 06:05:00
"67003",1.424,0.118,243.01,5.8,0,0,18,2007-02-01 06:06:00
"67004",1.422,0.118,242.53,5.8,0,0,18,2007-02-01 06:07:00
"67005",1.49,0.132,241.97,6.2,0,0,18,2007-02-01 06:08:00
"67006",1.494,0.13,241.65,6.2,0,0,18,2007-02-01 06:09:00
"67007",1.488,0.128,241.33,6.2,0,0,17,2007-02-01 06:10:00
